Benchmark,Size_Nodes,ABC_Nodes,ABC_Edges,ABC_Levels,LUT6D_Nodes,Total_LUTs,Total_Dual,LUT6D,LUT6,LUT5D,LUT5,LUT4D,LUT4,LUT3,LUT2,LEC_Status
adder,0,254,1036,51,172,172,98,41,61,31,4,26,9,0,0,PASS
arbiter,0,2722,15137,87,2550,2550,170,120,2062,49,183,1,135,0,0,PASS
bar,0,512,2688,12,448,448,64,0,384,0,0,64,0,0,0,PASS
cavlc,0,122,628,16,109,109,11,7,72,2,21,2,3,2,0,PASS
ctrl,0,29,136,10,18,18,10,9,6,0,2,1,0,0,0,PASS
dec,0,287,684,3,144,144,143,15,0,8,1,120,0,0,0,PASS
div,0,22030,77705,864,3565,3565,1448,596,1346,603,195,249,551,25,0,PASS
hyp,0,44508,198047,4194,35265,35265,12167,3365,14351,1435,4118,7367,4170,459,0,PASS
i2c,0,365,1668,20,248,248,44,30,109,12,41,2,49,5,0,PASS
int2float,0,49,256,16,37,37,5,5,25,0,6,0,1,0,0,PASS
log2,0,7976,36325,77,6461,6461,1743,854,2938,560,1048,329,653,79,0,PASS
max,0,842,3350,56,626,626,191,149,298,33,85,9,47,5,0,PASS
mem_ctrl,0,12104,54519,25,7412,7412,1801,1226,3272,397,1733,178,546,60,0,PASS
multiplier,0,5929,27739,53,4494,4494,1404,747,2196,273,240,384,586,68,0,PASS
priority,0,219,1074,31,110,110,23,11,52,11,19,1,13,3,0,PASS
router,0,91,306,54,37,37,5,1,17,3,4,1,10,0,1,PASS
sin,0,1464,6497,42,1102,1102,393,266,415,89,184,38,83,27,0,PASS
sqrt,0,5724,26936,1033,3181,3181,231,113,1097,115,931,3,901,21,0,PASS
square,0,3997,16525,50,2795,2795,1266,256,1459,84,18,926,6,46,0,PASS
voter,0,2826,13622,70,1247,1247,291,125,853,120,6,46,80,17,0,PASS
